State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
22,085,"Sabine Parish, LA","15,332"," 	2,057 ", 	899 ," 	3,215 "
22,087,"St. Bernard Parish, LA","17,268"," 	1,093 ", 	531 ," 	1,654 "
22,089,"St. Charles Parish, LA","21,000"," 	1,324 ", 	721 ," 	1,927 "
22,091,"St. Helena Parish, LA","5,418", 	990 , 	433 ," 	1,547 "
22,093,"St. James Parish, LA","9,036", 	995 , 	638 ," 	1,353 "
22,095,"St. John the Baptist Parish, LA","17,879"," 	1,387 ", 	674 ," 	2,100 "
22,097,"St. Landry Parish, LA","37,241"," 	3,683 "," 	1,610 "," 	5,757 "
22,099,"St. Martin Parish, LA","23,821"," 	2,720 "," 	1,189 "," 	4,252 "
22,101,"St. Mary Parish, LA","23,598"," 	2,119 ", 	926 ," 	3,311 "
22,103,"St. Tammany Parish, LA","105,699"," 	5,983 "," 	3,219 "," 	8,746 "
22,105,"Tangipahoa Parish, LA","57,547"," 	4,370 "," 	1,910 "," 	6,829 "
22,107,"Tensas Parish, LA","3,455", 	567 , 	248 , 	887 
22,109,"Terrebonne Parish, LA","45,766"," 	3,870 "," 	1,692 "," 	6,049 "
22,111,"Union Parish, LA","12,027"," 	1,921 ", 	840 ," 	3,003 "
22,113,"Vermilion Parish, LA","26,935"," 	3,849 "," 	1,734 "," 	5,964 "
22,115,"Vernon Parish, LA","22,385"," 	2,137 ", 	934 ," 	3,340 "
22,117,"Washington Parish, LA","21,962"," 	3,080 "," 	1,346 "," 	4,814 "
22,119,"Webster Parish, LA","19,884"," 	2,110 ", 	964 ," 	3,257 "
22,121,"West Baton Rouge Parish, LA","11,752"," 	1,152 ", 	504 ," 	1,801 "
22,123,"West Carroll Parish, LA","5,204", 	979 , 	428 ," 	1,531 "
22,125,"West Feliciana Parish, LA","5,547", 	892 , 	390 ," 	1,395 "
22,127,"Winn Parish, LA","7,342", 	983 , 	429 ," 	1,536 "
23,001,"Androscoggin County, ME","50,310"," 	10,799 "," 	4,720 "," 	16,879 "
23,003,"Aroostook County, ME","40,048"," 	12,193 "," 	5,329 "," 	19,058 "
23,005,"Cumberland County, ME","147,039"," 	20,583 "," 	9,550 "," 	31,615 "
23,007,"Franklin County, ME","22,386"," 	5,433 "," 	2,375 "," 	8,491 "
23,009,"Hancock County, ME","41,683"," 	8,983 "," 	3,926 "," 	14,040 "
23,011,"Kennebec County, ME","63,231"," 	13,595 "," 	5,942 "," 	21,248 "
23,013,"Knox County, ME","24,579"," 	5,343 "," 	2,335 "," 	8,350 "
23,015,"Lincoln County, ME","24,162"," 	6,759 "," 	2,954 "," 	10,564 "
23,017,"Oxford County, ME","37,274"," 	9,367 "," 	4,094 "," 	14,640 "
23,019,"Penobscot County, ME","76,352"," 	16,477 "," 	7,883 "," 	25,070 "
23,021,"Piscataquis County, ME","15,529"," 	4,377 "," 	1,913 "," 	6,841 "
23,023,"Sagadahoc County, ME","19,054"," 	4,444 "," 	1,942 "," 	6,945 "
23,025,"Somerset County, ME","31,028"," 	8,671 "," 	3,790 "," 	13,553 "
23,027,"Waldo County, ME","22,758"," 	5,889 "," 	2,574 "," 	9,205 "
23,029,"Washington County, ME","23,426"," 	5,793 "," 	2,532 "," 	9,053 "
23,031,"York County, ME","112,080"," 	20,658 "," 	9,467 "," 	31,848 "
24,001,"Allegany County, MD","32,737"," 	5,494 "," 	2,489 "," 	8,498 "
24,003,"Anne Arundel County, MD","227,936"," 	17,967 "," 	8,482 "," 	27,452 "
24,005,"Baltimore County, MD","338,291"," 	32,483 "," 	16,941 "," 	48,024 "
24,009,"Calvert County, MD","35,514"," 	4,016 "," 	2,029 "," 	6,003 "
24,011,"Caroline County, MD","13,660"," 	3,235 "," 	1,414 "," 	5,055 "
24,013,"Carroll County, MD","63,974"," 	10,781 "," 	5,613 "," 	15,949 "
24,015,"Cecil County, MD","42,745"," 	5,908 "," 	2,673 "," 	9,142 "
24,017,"Charles County, MD","61,838"," 	5,376 "," 	2,509 "," 	8,243 "
24,019,"Dorchester County, MD","16,765"," 	3,049 "," 	1,332 "," 	4,765 "
24,021,"Frederick County, MD","100,803"," 	10,592 "," 	6,432 "," 	14,753 "
24,023,"Garrett County, MD","19,458"," 	3,990 "," 	1,880 "," 	6,100 "
24,025,"Harford County, MD","101,600"," 	10,520 "," 	5,186 "," 	15,854 "
24,027,"Howard County, MD","122,593"," 	9,311 "," 	4,325 "," 	14,297 "
24,029,"Kent County, MD","10,689"," 	2,162 ", 	945 ," 	3,379 "
24,031,"Montgomery County, MD","391,006"," 	49,169 "," 	39,648 "," 	58,689 "
24,033,"Prince George's County, MD","335,752"," 	44,841 "," 	35,109 "," 	54,573 "
24,035,"Queen Anne's County, MD","21,539"," 	3,454 "," 	1,555 "," 	5,353 "
24,037,"St. Mary's County, MD","46,807"," 	5,412 "," 	2,365 "," 	8,459 "
24,039,"Somerset County, MD","11,476"," 	1,801 ", 	787 ," 	2,815 "
24,041,"Talbot County, MD","20,294"," 	3,266 "," 	1,427 "," 	5,104 "
24,043,"Washington County, MD","61,767"," 	9,845 "," 	4,303 "," 	15,387 "
24,045,"Wicomico County, MD","42,531"," 	5,481 "," 	2,537 "," 	8,425 "
24,047,"Worcester County, MD","56,652"," 	3,210 "," 	1,403 "," 	5,017 "
24,510,"Baltimore city, MD","293,889"," 	43,703 "," 	26,704 "," 	60,702 "
25,001,"Barnstable County, MA","164,674"," 	12,250 "," 	5,671 "," 	18,829 "
25,003,"Berkshire County, MA","69,212"," 	12,328 "," 	5,388 "," 	19,268 "
25,005,"Bristol County, MA","236,915"," 	28,652 "," 	14,588 "," 	42,717 "
25,007,"Dukes County, MA","18,146"," 	1,986 ", 	868 ," 	3,105 "
25,009,"Essex County, MA","314,723"," 	63,218 "," 	52,113 "," 	74,322 "
25,011,"Franklin County, MA","34,207"," 	8,867 "," 	4,201 "," 	13,532 "
25,013,"Hampden County, MA","193,890"," 	32,016 "," 	18,301 "," 	45,731 "
25,015,"Hampshire County, MA","64,383"," 	10,519 "," 	4,735 "," 	16,304 "
25,017,"Middlesex County, MA","645,291"," 	97,583 "," 	82,717 "," 	112,449 "
25,019,"Nantucket County, MA","12,675", 	955 , 	417 ," 	1,492 "
25,021,"Norfolk County, MA","281,778"," 	35,608 "," 	26,706 "," 	44,510 "
25,023,"Plymouth County, MA","209,542"," 	29,164 "," 	20,758 "," 	37,570 "
25,025,"Suffolk County, MA","345,414"," 	67,411 "," 	54,384 "," 	80,437 "
25,027,"Worcester County, MA","337,882"," 	58,865 "," 	36,009 "," 	81,721 "
26,001,"Alcona County, MI","11,241"," 	2,551 "," 	1,115 "," 	3,987 "
26,003,"Alger County, MI","6,718"," 	1,655 ", 	723 ," 	2,586 "
26,005,"Allegan County, MI","51,987"," 	11,465 "," 	5,011 "," 	17,918 "
26,007,"Alpena County, MI","16,076"," 	3,772 "," 	1,648 "," 	5,895 "
26,009,"Antrim County, MI","18,193"," 	4,521 "," 	1,976 "," 	7,066 "
26,011,"Arenac County, MI","9,885"," 	2,560 "," 	1,141 "," 	3,979 "
